,Best activation,Best solver,Fold Accuracy
Fold-1,identity,lbfgs,0.8414096916299559
Fold-2,identity,lbfgs,0.8325991189427313
Fold-3,identity,lbfgs,0.8237885462555066
Fold-4,identity,lbfgs,0.8215859030837004
Fold-5,identity,lbfgs,0.8215859030837004
Fold-6,identity,lbfgs,0.8392070484581498
Fold-7,identity,lbfgs,0.8458149779735683
Fold-8,identity,lbfgs,0.8502202643171806
Fold-9,identity,lbfgs,0.847682119205298
Fold-10,identity,lbfgs,0.847682119205298
---,---,---,---
mean,N/A,N/A,0.8371575692155089
modes,identity,lbfgs,N/A
